"sce","region","year","Units","value"
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Indonesia","2050","MtCO2e",543.170406863788
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2020","MtCO2e",1246.89027086706
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2025","MtCO2e",1116.38917104413
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2030","MtCO2e",910.731634194472
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2035","MtCO2e",796.791220831332
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2040","MtCO2e",592.395392006327
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2045","MtCO2e",359.641107434516
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Japan","2050","MtCO2e",156.81918822136
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2020","MtCO2e",790.240011856416
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2025","MtCO2e",763.200578921292
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2030","MtCO2e",754.721447130106
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2035","MtCO2e",650.047641871685
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2040","MtCO2e",559.799571456289
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2045","MtCO2e",472.936928540983
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Mexico","2050","MtCO2e",385.382718940883
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2020","MtCO2e",2980.55760032658
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2025","MtCO2e",2785.67801325584
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2030","MtCO2e",2598.5719939872
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2035","MtCO2e",2248.24406568942
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2040","MtCO2e",1895.21242210371
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2045","MtCO2e",1547.35907402719
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Middle East","2050","MtCO2e",1205.53406286684
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2020","MtCO2e",470.425131456535
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2025","MtCO2e",526.05359429574
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2030","MtCO2e",604.368798144831
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2035","MtCO2e",705.072154322501
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2040","MtCO2e",806.50962809089
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2045","MtCO2e",914.615501881137
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Pakistan","2050","MtCO2e",1012.32503105752
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2020","MtCO2e",2364.12139002772
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2025","MtCO2e",2404.89151491545
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2030","MtCO2e",2456.03742226776
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2035","MtCO2e",3030.51177655639
"NDC_LTT,date=2023-27-10T10:41:05+02:00","Russia","2040","MtCO2e",2785.18345368576
